設置者,名称,住所,緯度,経度,電話番号,施設URL,予約URL,アクセス方法,施設名称,施設分類,面数,面積（m2）,観覧席数,夜間照明有無,"表面
（陸上競技場の場合はトラック内表面）",だれでもトイレ数,1周の距離（m）,レーン数,陸上トラック・表面,プール種別,種目1,種目2,種目3,種目4,種目5,種目6,種目7,種目8,種目9,種目10,種目11,種目12,種目13,種目14,種目15,種目16,種目17,種目18,種目19,種目20,種目21,種目22,種目23,種目24,種目25,種目26,備考
東京都オリンピック・パラリンピック準備局,東京体育館,渋谷区千駄ヶ谷1-17-1,35.679396,139.711963,03-5474-2112,http://www.tef.or.jp/tmg,http://sports.tef.or.jp,都営大江戸線「国立競技場駅」徒歩1分,メインアリーナ,体育館,1,3220,10000,-,,11,,,,,卓球,テニス,バドミントン,ドッジボール,バスケットボール,バレーボール,ハンドボール,ソフトテニス,ソフトバレーボール,インディアカ,フェンシング,居合道,なぎなた,柔道,剣道,空手,少林寺拳法,テコンドー,レスリング,合気道,気功,太極拳,体操競技,新体操,社交ダンス・スポーツダンス,エアロビクス,観覧席数内訳:常設6000席、仮設4000席。
東京都オリンピック・パラリンピック準備局,東京体育館,渋谷区千駄ヶ谷1-17-1,35.679396,139.711963,03-5474-2112,http://www.tef.or.jp/tmg,http://sports.tef.or.jp,都営大江戸線「国立競技場駅」徒歩1分,サブアリーナ,体育館,1,1330,-,-,,3,,,,,ソフトボール,テニス,バドミントン,ドッジボール,バスケットボール,バレーボール,ソフトテニス,フットサル,バウンドテニス,インディアカ,フェンシング,居合道,なぎなた,柔道,剣道,空手,少林寺拳法,テコンドー,レスリング,合気道,気功,太極拳,体操競技,新体操,ジャズダンス,エアロビクス,
東京都オリンピック・パラリンピック準備局,東京体育館,渋谷区千駄ヶ谷1-17-1,35.679396,139.711963,03-5474-2112,http://www.tef.or.jp/tmg,http://sports.tef.or.jp,都営大江戸線「国立競技場駅」徒歩1分,50mプール,屋内水泳場,1,1000,900,-,,3,,,,50mプール,水球,水泳,シンクロナイズドスイミング,水中エアロビクス,,,,,,,,,,,,,,,,,,,,,,,だれでもトイレ：共通1、男1、女1
東京都オリンピック・パラリンピック準備局,東京体育館,渋谷区千駄ヶ谷1-17-1,35.679396,139.711963,03-5474-2112,http://www.tef.or.jp/tmg,http://sports.tef.or.jp,都営大江戸線「国立競技場駅」徒歩1分,25mプール,屋内水泳場,1,325,-,-,,1,,,,25mプール,水泳,シンクロナイズドスイミング,水中エアロビクス,,,,,,,,,,,,,,,,,,,,,,,,
東京都オリンピック・パラリンピック準備局,東京体育館,渋谷区千駄ヶ谷1-17-1,35.679396,139.711963,03-5474-2112,http://www.tef.or.jp/tmg,http://sports.tef.or.jp,都営大江戸線「国立競技場駅」徒歩1分,陸上競技場,陸上競技場,1,不明,-,有,草地,0,200,5,全天候舗装,,陸上競技,フットサル,ジョギング・ランニング・マラソン,,,,,,,,,,,,,,,,,,,,,,,,インフィールドはフットサルコート（2面）として運営
東京都オリンピック・パラリンピック準備局,東京体育館,渋谷区千駄ヶ谷1-17-1,35.679396,139.711963,03-5474-2112,http://www.tef.or.jp/tmg,http://sports.tef.or.jp,都営大江戸線「国立競技場駅」徒歩1分,トレーニングルーム,トレーニング場,2,603,-,-,,2,,,,,筋力トレーニング,体力測定,,,,,,,,,,,,,,,,,,,,,,,,,
東京都オリンピック・パラリンピック準備局,東京体育館,渋谷区千駄ヶ谷1-17-1,35.679396,139.711963,03-5474-2112,http://www.tef.or.jp/tmg,http://sports.tef.or.jp,都営大江戸線「国立競技場駅」徒歩1分,健康体力相談室,健康体力相談室,1,130,-,-,,0,,,,,体力測定,,,,,,,,,,,,,,,,,,,,,,,,,,全日予約制
東京都オリンピック・パラリンピック準備局,駒沢オリンピック公園総合運動場,世田谷区駒沢公園1-1,35.625574,139.663655,03-3421-6120,http://www.tef.or.jp/kopgp/index.jsp,http://www.tef.or.jp/system/reservation.jsp,東急田園都市線「駒沢大学駅」徒歩15分,陸上競技場,陸上競技場,1,18260,20010,-,天然芝,4,400,8,全天候舗装,,陸上競技,サッカー,ラグビー,アメリカンフットボール,ラクロス,その他,,,,,,,,,,,,,,,,,,,,,フライングディスク可
東京都オリンピック・パラリンピック準備局,駒沢オリンピック公園総合運動場,世田谷区駒沢公園1-1,35.625574,139.663655,03-3421-6120,http://www.tef.or.jp/kopgp/index.jsp,http://www.tef.or.jp/system/reservation.jsp,東急田園都市線「駒沢大学駅」徒歩15分,屋内球技場,体育館,1,1833,1558,-,,3,,,,,卓球,バドミントン,バスケットボール,バレーボール,ハンドボール,ソフトバレーボール,フットサル,フェンシング,,,,,,,,,,,,,,,,,,,平成26～28年度全面改修、平成29年7月リニューアルオープン
東京都オリンピック・パラリンピック準備局,駒沢オリンピック公園総合運動場,世田谷区駒沢公園1-1,35.625574,139.663655,03-3421-6120,http://www.tef.or.jp/kopgp/index.jsp,http://www.tef.or.jp/system/reservation.jsp,東急田園都市線「駒沢大学駅」徒歩15分,体育館,体育館,1,1842,3474,-,,4,,,,,卓球,テニス,バドミントン,バスケットボール,バレーボール,ハンドボール,ソフトテニス,ソフトバレーボール,フットサル,フェンシング,レスリング,体操競技,新体操,,,,,,,,,,,,,,だれでもトイレ：共通2、男1、女1
東京都オリンピック・パラリンピック準備局,駒沢オリンピック公園総合運動場,世田谷区駒沢公園1-1,35.625574,139.663655,03-3421-6120,http://www.tef.or.jp/kopgp/index.jsp,http://www.tef.or.jp/system/reservation.jsp,東急田園都市線「駒沢大学駅」徒歩15分,第一球技場,球技場,1,8083,1038,-,人工芝,1,,,,,ゲートボール,サッカー,ホッケー,フットサル,ラクロス,アーチェリー,,,,,,,,,,,,,,,,,,,,,平成26～28年度全面改修、平成29年9月リニューアルオープン。JHA公認人工芝ピッチ
